               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.028045,            0.022136,          0.00088254,             0.76413,              0.7363,             0.78677,             0.57878,            0.031606,            0.011844,          0.00077672,            0.007426,            0.007426,            0.007426
                 132,            0.027987,            0.022064,          0.00088534,             0.76672,             0.73543,             0.78738,             0.57905,            0.031593,            0.011839,          0.00077325,           0.0074062,           0.0074062,           0.0074062
                 133,            0.028033,            0.022108,          0.00087301,             0.76412,             0.73561,              0.7875,             0.57932,             0.03159,            0.011837,          0.00076963,           0.0073864,           0.0073864,           0.0073864
                 134,            0.027968,            0.022173,          0.00090196,              0.7657,             0.73369,             0.78726,             0.57889,            0.031596,            0.011844,          0.00076923,           0.0073666,           0.0073666,           0.0073666
                 135,            0.027849,            0.022063,          0.00086349,             0.76038,             0.73614,             0.78749,             0.57931,            0.031617,            0.011846,          0.00076911,           0.0073468,           0.0073468,           0.0073468
                 136,             0.02775,            0.022133,          0.00088171,             0.76356,             0.73311,             0.78765,             0.57934,            0.031615,            0.011847,          0.00077019,            0.007327,            0.007327,            0.007327
                 137,            0.027859,            0.021997,          0.00087356,             0.75862,             0.73843,             0.78811,             0.57937,            0.031604,            0.011847,          0.00076815,           0.0073072,           0.0073072,           0.0073072
                 138,            0.027799,            0.022076,          0.00087289,             0.75687,             0.73945,             0.78815,             0.57956,            0.031587,            0.011844,          0.00076577,           0.0072874,           0.0072874,           0.0072874
                 139,            0.027753,            0.022053,          0.00084468,             0.75367,               0.742,              0.7888,             0.58012,            0.031568,            0.011843,           0.0007627,           0.0072676,           0.0072676,           0.0072676
                 140,             0.02763,            0.022003,          0.00088266,             0.75262,             0.74271,             0.78876,             0.58018,            0.031569,            0.011846,          0.00076325,           0.0072478,           0.0072478,           0.0072478
                 141,            0.027727,            0.022107,          0.00086576,             0.75809,             0.73873,             0.78839,             0.58017,            0.031569,            0.011848,          0.00076845,            0.007228,            0.007228,            0.007228
                 142,            0.027742,            0.022011,          0.00085416,             0.75982,             0.73861,             0.78834,             0.57994,            0.031565,            0.011849,          0.00076811,           0.0072082,           0.0072082,           0.0072082
                 143,            0.027731,            0.021875,           0.0008595,             0.75685,             0.74067,             0.78834,             0.58039,            0.031535,            0.011849,          0.00076805,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027617,            0.021799,          0.00089332,             0.75895,             0.74088,             0.78817,             0.58024,             0.03152,            0.011856,          0.00076323,           0.0071686,           0.0071686,           0.0071686
                 145,             0.02754,            0.021838,           0.0008645,             0.76339,             0.73516,             0.78833,             0.58054,            0.031514,            0.011857,          0.00075689,           0.0071488,           0.0071488,           0.0071488
                 146,              0.0276,            0.021929,          0.00088461,              0.7622,             0.73747,             0.78819,             0.58065,            0.031538,            0.011867,           0.0007483,            0.007129,            0.007129,            0.007129
                 147,            0.027633,            0.021887,          0.00087312,             0.75952,             0.74037,             0.78836,              0.5811,            0.031538,            0.011872,          0.00074981,           0.0071092,           0.0071092,           0.0071092
                 148,            0.027562,            0.021853,          0.00084487,             0.75841,             0.73917,             0.78813,             0.58215,            0.031519,            0.011869,          0.00074553,           0.0070894,           0.0070894,           0.0070894
                 149,            0.027343,            0.021792,          0.00084987,             0.75539,             0.74204,             0.78822,             0.58243,            0.031507,            0.011875,          0.00074391,           0.0070696,           0.0070696,           0.0070696
